ccode,OECD_Country_Name,ISO3OECD,OECD_Region,OECD_simple_name
384,Cote d'Ivoire,CIV,Sub-Saharan Africa,Cote D'ivoire
270,Gambia,GMB,Sub-Saharan Africa,Gambia
288,Ghana,GHA,Sub-Saharan Africa,Ghana
324,Guinea,GIN,Sub-Saharan Africa,Guinea
624,Guinea-Bissau,GNB,Sub-Saharan Africa,Guinea-bissau
430,Liberia,LBR,Sub-Saharan Africa,Liberia
466,Mali,MLI,Sub-Saharan Africa,Mali
478,Mauritania,MRT,Sub-Saharan Africa,Mauritania
562,Niger,NER,Sub-Saharan Africa,Niger
566,Nigeria,NGA,Sub-Saharan Africa,Nigeria
654,Saint Helena,SHN,Sub-Saharan Africa,Saint Helena
686,Senegal,SEN,Sub-Saharan Africa,Senegal
694,Sierra Leone,SLE,Sub-Saharan Africa,Sierra Leone
768,Togo,TGO,Sub-Saharan Africa,Togo
24,Angola,AGO,Sub-Saharan Africa,Angola
120,Cameroon,CMR,Sub-Saharan Africa,Cameroon
140,Central African Republic,CAF,Sub-Saharan Africa,Central African Republic
148,Chad,TCD,Sub-Saharan Africa,Chad
178,Congo,COG,Sub-Saharan Africa,"Congo, Republic Of"
180,Democratic Republic of the Congo,COD,Sub-Saharan Africa,"Congo, The Democratic Republic Of"
226,Equatorial Guinea,GNQ,Sub-Saharan Africa,Equatorial Guinea
266,Gabon,GAB,Sub-Saharan Africa,Gabon
678,Sao Tome and Principe,STP,Sub-Saharan Africa,Sao Tome And Principe
72,Botswana,BWA,Sub-Saharan Africa,Botswana
426,Lesotho,LSO,Sub-Saharan Africa,Lesotho
516,Namibia,NAM,Sub-Saharan Africa,Namibia
710,South Africa,ZAF,Sub-Saharan Africa,South Africa
748,Swaziland,SWZ,Sub-Saharan Africa,Swaziland
108,Burundi,BDI,Sub-Saharan Africa,Burundi
174,Comoros,COM,Sub-Saharan Africa,Comoros
262,Djibouti,DJI,Sub-Saharan Africa,Djibouti
232,Eritrea,ERI,Sub-Saharan Africa,Eritrea
230,Ethiopia (until 1993),,Sub-Saharan Africa,Ethiopia (until 1993)
231,Ethiopia (from 1993),ETH,Sub-Saharan Africa,Ethiopia
404,Kenya,KEN,Sub-Saharan Africa,Kenya
450,Madagascar,MDG,Sub-Saharan Africa,Madagascar
454,Malawi,MWI,Sub-Saharan Africa,Malawi
480,Mauritius,MUS,Sub-Saharan Africa,Mauritius
175,Mayotte,MYT,Sub-Saharan Africa,Mayotte
508,Mozambique,MOZ,Sub-Saharan Africa,Mozambique
638,Réunion,REU,Sub-Saharan Africa,Reunion
646,Rwanda,RWA,Sub-Saharan Africa,Rwanda
690,Seychelles,SYC,Sub-Saharan Africa,Seychelles
706,Somalia,SOM,Sub-Saharan Africa,Somalia
800,Uganda,UGA,Sub-Saharan Africa,Uganda
834,United Republic of Tanzania,TZA,Sub-Saharan Africa,"Tanzania, United Republic Of"
894,Zambia,ZMB,Sub-Saharan Africa,Zambia
716,Zimbabwe,ZWE,Sub-Saharan Africa,Zimbabwe
